City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Hilo,US,82.27,clear sky,19.7297,-155.09,
9,Rikitea,PF,75.07,light rain,-23.1203,-134.9692,
10,Inirida,CO,72.77,broken clouds,3.8653,-67.9239,
11,Vaini,TO,80.76,light rain,-21.2,-175.2,
13,Georgetown,MY,89.55,scattered clouds,5.4112,100.3354,
14,Puerto Ayora,EC,69.21,overcast clouds,-0.7393,-90.3518,
15,Atuona,PF,78.33,clear sky,-9.8,-139.0333,
24,Kapaa,US,80.58,light rain,22.0752,-159.319,
25,Harper,LR,77.63,light rain,4.375,-7.7169,
29,Bubaque,GW,83.46,clear sky,11.2833,-15.8333,
30,Tamiahua,MX,70.09,broken clouds,21.2667,-97.45,
38,Pucallpa,PE,78.84,scattered clouds,-8.3791,-74.5539,
39,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,
42,Axim,GH,75.96,overcast clouds,4.8699,-2.2405,
45,Altamira,BR,78.21,overcast clouds,-3.2033,-52.2064,
52,San Cristobal,VE,69.98,broken clouds,7.7669,-72.225,
56,Faanui,PF,78.75,light rain,-16.4833,-151.75,
57,Freetown,SL,79.3,clear sky,8.484,-13.2299,
58,Carutapera,BR,76.75,overcast clouds,-1.195,-46.02,
59,Puerto Leguizamo,CO,71.47,overcast clouds,-0.1934,-74.7819,
60,Coahuayana,MX,75.11,broken clouds,18.7333,-103.6833,
61,Kihei,US,78.82,clear sky,20.785,-156.4656,
64,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,
73,Cabo San Lucas,MX,77.5,scattered clouds,22.8909,-109.9124,
78,Laguna De Perlas,NI,76.15,overcast clouds,12.3429,-83.6712,
79,Oussouye,SN,77.9,scattered clouds,12.485,-16.5469,
81,Trairi,BR,78.94,overcast clouds,-3.2778,-39.2689,
83,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,
84,Muisne,EC,75.13,overcast clouds,0.6,-80.0333,
85,Presidente Medici,BR,73.51,overcast clouds,-11.1753,-61.9014,
87,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,
88,Green Valley,US,73.0,clear sky,31.8543,-110.9937,
95,Puerto Colombia,CO,82.49,broken clouds,10.9878,-74.9547,
96,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,
98,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,
99,Sao Gabriel Da Cachoeira,BR,72.95,scattered clouds,-0.1303,-67.0892,
103,Maragogi,BR,76.14,overcast clouds,-9.0122,-35.2225,
106,Kahului,US,78.82,clear sky,20.8947,-156.47,
109,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,
111,Natal,BR,80.82,few clouds,-5.795,-35.2094,
116,Cartagena,CO,82.02,few clouds,10.3997,-75.5144,
119,Sinnamary,GF,77.49,overcast clouds,5.3833,-52.95,
120,Nouakchott,MR,71.53,clear sky,18.0858,-15.9785,
