City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,29.41,100,90,8.05,overcast clouds
1,Norman Wells,CA,65.282,-126.8329,17.64,93,90,3.44,light snow
2,Ushuaia,AR,-54.8,-68.3,49.66,62,20,9.22,few clouds
3,Torbay,CA,47.6666,-52.7314,34.57,97,90,11.5,light rain
4,Viedma,AR,-40.8135,-62.9967,51.04,69,14,7.7,few clouds
5,Valparaiso,CL,-33.0393,-71.6273,50.92,93,20,4.61,few clouds
6,Hilo,US,19.7297,-155.09,82.27,77,1,3.44,clear sky
7,Upernavik,GL,72.7868,-56.1549,9.79,70,5,5.17,clear sky
8,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.79,91,20,8.05,few clouds
9,Rikitea,PF,-23.1203,-134.9692,75.07,81,64,10.78,light rain
10,Inirida,CO,3.8653,-67.9239,72.77,97,76,3.13,broken clouds
11,Vaini,TO,-21.2,-175.2,80.76,89,40,9.22,light rain
12,Pierre,US,44.3683,-100.351,51.28,61,1,6.91,clear sky
13,Georgetown,MY,5.4112,100.3354,89.55,70,40,1.99,scattered clouds
14,Puerto Ayora,EC,-0.7393,-90.3518,69.21,74,98,9.33,overcast clouds
15,Atuona,PF,-9.8,-139.0333,78.33,74,5,16.73,clear sky
16,Mataura,NZ,-46.1927,168.8643,65.48,39,99,2.06,overcast clouds
17,Apaseo El Grande,MX,20.5667,-100.7,58.55,72,44,6.31,scattered clouds
18,Barrow,US,71.2906,-156.7887,26.62,80,90,26.46,overcast clouds
19,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,93,90,17.27,overcast clouds
20,Saint George,US,37.1041,-113.5841,66.34,44,1,1.01,clear sky
21,Jacutinga,BR,-22.2856,-46.6122,64.18,76,27,2.89,scattered clouds
22,Laguna,US,38.421,-121.4238,59.22,83,1,1.01,clear sky
23,Punta Arenas,CL,-53.15,-70.9167,50.11,66,75,11.5,broken clouds
