City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,-42.7826,147.0587,45.91,79,100,7.0
1,Punta Arenas,CL,-53.15,-70.9167,53.71,66,75,16.11
2,Mataura,NZ,-46.1927,168.8643,71.55,45,19,0.96
3,East London,ZA,-33.0153,27.9116,66.34,96,100,8.21
4,Forestville,US,38.8451,-76.875,61.3,80,90,9.22
5,Gibsons,CA,49.3997,-123.5027,49.08,91,100,5.88
6,Barrow,US,71.2906,-156.7887,21.22,86,90,10.36
7,Rikitea,PF,-23.1203,-134.9692,75.76,78,25,18.21
8,Pundaguitan,PH,6.3711,126.1689,82.78,77,100,9.73
9,Omboue,GA,-1.5746,9.2618,75.36,92,62,5.77
10,Manaure,CO,11.7751,-72.4445,82.36,78,99,3.11
11,Codrington,AU,-38.2667,141.9667,52.92,59,100,21.18
12,Damaturu,NG,11.747,11.9608,79.63,16,100,5.64
13,Leningradskiy,RU,69.3833,178.4167,3.49,89,99,5.73
14,Lebu,CL,-37.6167,-73.65,52.79,87,31,14.92
15,Ulladulla,AU,-35.35,150.4667,84.87,33,0,17.09
16,Kinsale,IE,51.7075,-8.5306,51.17,87,75,8.05
17,Gushikawa,JP,26.3544,127.8686,76.62,50,1,10.36
18,Hobart,AU,-42.8794,147.3294,46.26,95,75,3.0
19,Souillac,MU,-20.5167,57.5167,74.35,94,20,6.91
20,Khatanga,RU,71.9667,102.5,-14.93,99,95,7.25
21,Havoysund,NO,70.9963,24.6622,38.28,79,100,28.54
22,Jamestown,US,42.097,-79.2353,56.52,78,1,8.01
23,Wanaka,NZ,-44.7,169.15,64.11,62,68,5.01
24,Mar Del Plata,AR,-38.0023,-57.5575,68.09,91,0,7.0
25,Leh,IN,34.1667,77.5833,23.27,59,0,2.04
26,Lavrentiya,RU,65.5833,-171.0,17.22,87,100,7.09
27,Talnakh,RU,69.4865,88.3972,-3.32,90,100,9.48
28,Sinnamary,GF,5.3833,-52.95,78.85,87,100,9.31
29,Ngunguru,NZ,-35.6167,174.5,66.51,60,100,8.72
30,Marzuq,YE,14.4,46.4667,68.56,34,5,1.28
31,Bredasdorp,ZA,-34.5322,20.0403,60.12,88,55,1.14
32,Esperance,AU,-33.8667,121.9,53.44,65,100,11.92
33,Vestmanna,FO,62.1564,-7.1664,47.32,100,90,14.97
34,Qaanaaq,GL,77.484,-69.3632,17.1,82,85,7.25
35,Sao Felix Do Xingu,BR,-6.6447,-51.995,78.15,66,100,2.37
36,Bluff,NZ,-46.6,168.3333,59.52,75,15,8.3
37,Constantine,DZ,36.365,6.6147,49.41,93,20,2.3
38,Carballo,ES,43.213,-8.691,60.55,93,100,5.39
39,Saint George,US,37.1041,-113.5841,69.94,41,1,1.99
40,Castro,BR,-24.7911,-50.0119,60.98,95,96,7.27
41,Saint-Philippe,RE,-21.3585,55.7679,72.99,81,41,5.75
42,Atuona,PF,-9.8,-139.0333,78.26,69,4,16.37
43,Mindelo,CV,16.8901,-24.9804,76.55,73,40,23.02
44,Ucluelet,CA,48.9329,-125.5528,49.08,90,100,5.44
45,Georgetown,MY,5.4112,100.3354,82.33,86,20,3.44
46,Iqaluit,CA,63.7506,-68.5145,38.93,75,90,8.01
47,Bambanglipuro,ID,-7.95,110.2833,82.6,76,97,3.27
48,Namibe,AO,-15.1961,12.1522,66.51,71,30,5.84
49,Mitsamiouli,KM,-11.3847,43.2844,78.48,73,10,14.03
50,Ushuaia,AR,-54.8,-68.3,56.86,47,20,10.36
51,Torbay,CA,47.6666,-52.7314,39.58,95,90,16.11
52,Nanortalik,GL,60.1432,-45.2371,35.01,72,76,2.93
53,Klaksvik,FO,62.2266,-6.589,49.12,88,44,25.72
54,Sitka,US,57.0531,-135.33,42.69,75,75,9.22
55,Verkhoyansk,RU,67.5447,133.385,8.2,90,100,3.85
56,Luangwa,ZM,-15.6167,30.4167,73.24,64,2,10.74
57,Maceio,BR,-9.6658,-35.7353,80.04,89,40,5.75
58,Port Blair,IN,11.6667,92.75,82.33,76,55,11.23
59,Tasiilaq,GL,65.6145,-37.6368,30.36,70,11,8.23
60,Cidreira,BR,-30.1811,-50.2056,68.0,84,32,17.27
61,Kaitangata,NZ,-46.2817,169.8464,59.47,72,77,6.04
62,Albany,US,42.6001,-73.9662,44.56,90,13,0.74
63,Mehamn,NO,71.0357,27.8492,34.92,92,90,15.82
64,Isangel,VU,-19.55,169.2667,82.51,78,75,11.5
65,Hermanus,ZA,-34.4187,19.2345,59.9,90,0,10.2
66,Kabo,CF,7.6994,18.629,71.35,90,100,3.02
67,Havelock,US,34.8791,-76.9013,68.02,93,100,5.01
68,Vaini,TO,-21.2,-175.2,78.96,89,75,13.8
